Nov 8th,Waterfront,Rosalie Cunningham
Nov 8th,Dead Wax,MIYO's folk & country night
Nov 8th,Brickmakers,Sing it your way KARAOKE
Nov 9th,Voodoos,"Pica pica, Pica pica! presents ĠENN + support TBA"
Nov 9th,Dead Wax,Chrome (DJ SET)
Nov 10th,Arts Centre,Ugly
Nov 10th,Waterfront,Ashley Singh
Nov 10th,LCR,Del Amitri
Nov 10th,Voodoos,Keg + Other Half
Nov 11th,Epic,Round Midnight: Shabaka plus support
Nov 11th,Brickmakers,The Black Dog Music Project
Nov 11th,Arts Centre,Round Midnight presents Shabaka @ EPIC Studios
Nov 11th,Voodoos,Machukha with Healing Wound + Acceptance
Nov 12th,Holloway,J. Zunz (Lorelle Meets The Obsolete) + support
Nov 12th,Epic,Epic Darts 2026 - November 12th
Nov 12th,Arts Centre,Gary Stewart’s Graceland
Nov 12th,Waterfront,Young Knives
Nov 12th,Dead Wax,"Girls, Gays & Theys Ft Glitter & Gloom Djs"
Nov 12th,Brickmakers,Open  mic  night with Peter Turrell
Nov 13th,Epic,Dutty Moonshine Big Band's Second Distillation UK Tour
Nov 13th,Brickmakers,Rattus Inheritus at The Brickmakers
Nov 13th,Arts Centre,PONY UP presents Damp Matches
Nov 13th,Waterfront,Nieve Ella
Nov 13th,Waterfront,The Zac Schulze Gang
Nov 13th,LCR,Dizzee Rascal
Nov 13th,Voodoos,Electric Eel Shock
Nov 13th,Dead Wax,The Cain Pit W/ East Town Pirates
Nov 13th,The Reindeer,Lithium
Nov 14th,Holloway,Sonic Cathedral presents The Early Years + Sennen + Allies of Ferns
Nov 14th,Brickmakers,Not The Story (Morning Glory?)
Nov 14th,Arts Centre,Daddy G (The Wild Bunch / Massive Attack) DJ
Nov 14th,Waterfront,Dutch & Graft (The Manor)
Nov 14th,Waterfront,Deptford Northern Soul Club
Nov 14th,Voodoos,The Rabbitts
Nov 14th,Hangar,Indoors & Heated: Fish56octagon - Norwich - Day Party -
Nov 15th,Holloway,No Peeling + Garden Centre (Matinee Show)
Nov 15th,Epic,Martin McAloon of Prefab Sprout
Nov 15th,Waterfront,Kid Kapichi
Nov 15th,Waterfront,Hail The Sun
Nov 15th,Voodoos,The North
Nov 15th,Brickmakers,Soul Bags
Nov 16th,LCR,Little Angels
Nov 17th,Arts Centre,Mississippi Records presents: A People’s History of Music
Nov 17th,Waterfront,The Commoners
Nov 17th,LCR,Shed Seven
Nov 18th,Holloway,Scott Lavene - Acoustic Songs & Stories Tour
Nov 18th,Arts Centre,Martin Harley
Nov 18th,Voodoos,Red Richardson
Nov 19th,Epic,Daniel O'Reilly: Let's Have It
Nov 19th,Voodoos,MADELEINE + Maya Law
Nov 20th,Holloway,Katz Mulk + Germ Lattice + Phil Julian
Nov 20th,Arts Centre,Stone Foundation
Nov 20th,Waterfront,The High Points
Nov 20th,Waterfront,Ricky Warwick & The Fighting Hearts
Nov 20th,Brickmakers,Rawkas
Nov 21st,Holloway,Shaki Tavi (LA Grunge/Shoegaze) + Twelve Atlas
Nov 21st,Maddermarket,Intellectual Hooligans
Nov 21st,Waterfront,Skids + Theatre of Hate (co-headline)
Nov 21st,Waterfront,Portrayal Of Guilt
Nov 21st,Brickmakers,Tattooed Lies
Nov 21st,The Halls,Songs of the Wild: Sam Lee
Nov 22nd,Epic,An Intimate Evening with Trevor Horn
Nov 22nd,Waterfront,Good Health Good Wealth
Nov 22nd,Brickmakers,Maiden Anglia - A Tribute To Iron Maiden
Nov 23rd,LCR,Getdown Services
Nov 24th,Epic,Round Midnight presents corto.alto
Nov 24th,Arts Centre,PONY UP presents COWBOYY
Nov 24th,Arts Centre,Round Midnight presents corto.alto @ EPIC Studios
Nov 24th,Waterfront,Reverend & The Makers
Nov 24th,Voodoos,Parviz + Wiffeney
Nov 25th,LCR,The Boys Are Back Again – East 17
Nov 25th,Voodoos,The Love Buzz
Nov 25th,Brickmakers,Norfolk Blues Society at the Brickmakers
Nov 26th,Waterfront,Parker Barrow
Nov 26th,Brickmakers,Open  mic  night with Peter Turrell
Nov 27th,Gonzos,Soul Mass Transit System - All Night Long
Nov 27th,Epic,Martin Kemp - Back to the 80s
Nov 27th,Maddermarket,The Dusty Show
Nov 27th,Arts Centre,An Evening with The Magic Numbers
Nov 27th,Waterfront,London Calling Play The Clash
Nov 27th,Waterfront,Discharge
Nov 27th,LCR,Avatar
Nov 27th,Brickmakers,Decades Apart
Nov 28th,Epic,Big Fish Little Fish - Norwich Family Rave Xmas Special (2 Bad Mice)
Nov 28th,Epic,Groove Armada DJ Set + Support
Nov 28th,Arts Centre,These Wicked Rivers
Nov 28th,Waterfront,Uncle Acid And The Deadbeats
Nov 28th,Waterfront,Atlas&i
Nov 28th,Brickmakers,Thin Lizzish
Nov 28th,The Halls,R&B Orchestra Live
Nov 29th,LCR,The Snuts
Nov 30th,Waterfront,The Temperance Movement
Dec 1st,Arts Centre,Tom Moore Quartet
Dec 2nd,Waterfront,Sevendust
Dec 3rd,Arts Centre,The Allergies (Live)
Dec 3rd,Waterfront,Cinema Stereo
Dec 3rd,Brickmakers,The Blue Lion Band
Dec 4th,Arts Centre,Beans on Toast
Dec 4th,Waterfront,MacBusted
Dec 4th,Waterfront,Dr. Feelgood
Dec 4th,LCR,The Hunna
Dec 4th,Brickmakers,Nirvanher With Hell is in Chains
Dec 5th,Arts Centre,The Electric Swing Circus
Dec 5th,Waterfront,The Bon Jovi Experience + Mötley Crüe tribute ‘Motley Crude’
Dec 5th,Waterfront,The Entitled Sons
Dec 5th,LCR,Ash
Dec 5th,Voodoos,Dad Manners
Dec 5th,Brickmakers,Henry Cluney's XSLF + The Punktures + Beef & Onion
Dec 5th,Hangar,Norwich: Pat Sharp's Fun House Xmas Special - Indoors & Heated | 5th Dec
Dec 6th,Waterfront,The Fell
Dec 6th,Brickmakers,Southbound
Dec 8th,Dead Wax,the sickos secret cinema
Dec 9th,Dead Wax,polyjamorous
Dec 9th,Brickmakers,Black Dog  Music
